,,,,,,,,,,,,,,,,,FC
197,1075.51,0.03,39.72,27.08,42716.37,0.36,2373.13,2,20,14,0,21,23,110,87,9,0
310,2002.42,0.05,21.19,94.51,42426.35,0.67,2357.02,5,32,26,0,24,64,197,113,17,0
263,1653.06,0.07,15.19,108.84,25107.55,0.55,1394.86,0,34,17,0,17,61,154,109,23,0
49,181.32,0.14,7,25.9,1269.25,0.06,70.51,0,3,3,0,7,6,37,12,1,0
80,428.6,0.13,7.89,54.3,3382.91,0.14,187.94,2,2,12,0,13,28,46,34,7,0
11,30.88,0.38,2.67,11.58,82.35,0.01,4.57,1,2,0,0,4,3,7,4,1,0
250,1626.95,0.07,14.23,114.37,23143.92,0.54,1285.77,4,28,39,0,20,71,149,101,13,0
737,5334.7,0.04,24.9,214.24,132838.37,1.78,7379.91,4,31,77,0,25,126,486,251,19,0
77,391.73,0.13,7.64,51.3,2991.43,0.13,166.19,0,23,55,0,12,22,49,28,7,0
214,1284,0.05,18.78,68.36,24116.87,0.43,1339.83,1,8,12,0,18,46,118,96,3,0
169,985.76,0.06,17.21,57.28,16963.26,0.33,942.4,3,47,40,0,21,36,110,59,11,0
51,236.84,0.13,7.85,30.19,1858.26,0.08,103.24,1,20,13,0,12,13,34,17,9,0
36,158.12,0.18,5.5,28.75,869.68,0.05,48.32,0,6,7,0,11,10,26,10,3,0
95,475,0.07,15,31.67,7125,0.16,395.83,0,8,7,0,16,16,65,30,7,0
12,39.86,0.27,3.75,10.63,149.49,0.01,8.3,1,6,3,0,6,4,7,5,3,0
102,535.29,0.07,14.57,36.74,7799.92,0.18,433.33,2,2,9,0,17,21,66,36,5,0
176,1047.94,0.05,19.25,54.44,20172.82,0.35,1120.71,2,12,12,0,22,40,106,70,9,0
140,809.39,0.07,14.84,54.55,12009.6,0.27,667.2,10,9,23,0,18,37,79,61,9,0
61,310.34,0.1,10.26,30.24,3185.02,0.1,176.95,0,3,3,0,15,19,35,26,7,0
61,310.34,0.1,10.26,30.24,3185.02,0.1,176.95,0,3,3,0,15,19,35,26,7,0
25,97.67,0.09,11,8.88,1074.39,0.03,59.69,0,0,3,0,10,5,14,11,3,0
16,57.36,0.29,3.5,16.39,200.76,0.02,11.15,0,4,0,0,7,5,11,5,1,0
111,569.35,0.05,20.78,27.4,11829.84,0.19,657.21,0,17,6,0,17,18,67,44,9,0
91,459.04,0.08,12.89,35.6,5919.2,0.15,328.84,1,11,8,0,14,19,56,35,5,0
217,1311.63,0.04,26.83,48.89,35190.17,0.44,1955.01,0,8,17,0,25,41,129,88,21,0
150,937.19,0.06,15.65,59.87,14671.27,0.31,815.07,0,39,14,0,21,55,68,82,5,0
95,498.55,0.04,22.85,21.82,11393.4,0.17,632.97,2,14,10,0,21,17,58,37,11,0
538,3124.36,0.02,53.2,58.73,166215.79,1.04,9234.21,3,13,22,0,16,40,272,266,5,0
165,911.39,0.04,24.28,37.54,22126.47,0.3,1229.25,0,11,10,0,19,27,96,69,6,0
56,260.06,0.14,7.07,36.78,1838.97,0.09,102.16,0,0,0,0,11,14,38,18,3,0
331,2164.46,0.05,22.12,97.85,47876.6,0.72,2659.81,9,14,39,0,26,67,217,114,9,0
32,125.02,0.16,6.13,20.41,765.75,0.04,42.54,0,2,5,0,7,8,18,14,1,0
73,358.2,0.11,9,39.8,3223.83,0.12,179.1,10,6,9,0,12,18,46,27,5,0
33,142.62,0.16,6.11,23.34,871.59,0.05,48.42,0,4,4,0,11,9,23,10,3,0
41,174.17,0.1,9.63,18.1,1676.34,0.06,93.13,0,0,3,0,11,8,27,14,3,0
42,192.57,0.11,9.1,21.16,1752.37,0.06,97.35,0,13,5,0,14,10,29,13,3,0
95,521.73,0.06,18.12,28.78,9456.28,0.17,525.35,3,5,22,0,25,20,66,29,7,0
110,604.1,0.06,17.25,35.02,10420.79,0.2,578.93,3,15,19,0,23,22,77,33,9,0
10,28.07,0.5,2,14.04,56.15,0.01,3.12,0,1,5,0,4,3,7,3,1,0
93,494.94,0.06,16,30.93,7919.03,0.16,439.95,2,28,12,0,20,20,61,32,9,0
